"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"21","ko00261",0.00191626080777496,0.0378407991180817,0.00140924585792265,0.00113180256384095,"time0",-0.316301016459574
"23","ko00280",5.6274002417922e-05,0.00802921829745174,0.00448102473443532,0.00586464809393927,"time12",0.388215852538817
"27","ko00310",0.00111528497654945,0.0259019380124907,0.00221723560748068,0.00289693772290431,"time12",0.385766588771926
"34","ko00360",6.17632176727057e-05,0.00802921829745174,0.0011751010826315,0.00177862233795469,"time12",0.597975346582397
"36","ko00362",0.000902727479115129,0.0259019380124907,0.00340250880861948,0.0045008863060723,"time12",0.403610225543695
"81","ko00650",0.00204583548475057,0.0378407991180817,0.017416897982015,0.0199940013851282,"time12",0.199079529340466
"125","ko01212",0.000398491974920034,0.0259019380124907,0.00421251249626773,0.0054309959853651,"time12",0.366535830806892
"144","ko03018",0.00111528497654945,0.0259019380124907,0.0162649434608069,0.0134170383530215,"time0",-0.277699557969815
"157","ko04013",0.000582835054956377,0.0259019380124907,0.000144500615985969,6.17838681657886e-05,"time0",-1.22577353955784
"166","ko04141",0.00119547406211495,0.0259019380124907,0.00295487955132342,0.00166686658737017,"time0",-0.82596068499764
"174","ko04211",0.00218312302604318,0.0378407991180817,0.000146623914739114,6.58666932086377e-05,"time0",-1.15449940239286
"175","ko04212",0.000675843213684857,0.0259019380124907,0.0118633535898176,0.00949053832874762,"time0",-0.321950067301119
"215","ko04940",0.00072716164868325,0.0259019380124907,0.00840878657449155,0.00642106853294766,"time0",-0.389084231287306
"222","ko05016",0.00026838865596801,0.0232603501838942,0.000150645929663218,6.50906059777821e-05,"time0",-1.21064044240865
"237","ko05152",0.000902727479115129,0.0259019380124907,0.0116157764754115,0.00933402634178606,"time0",-0.315514152773562
