Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	TR	A0A1H6U4S1	Fuc2NAc and GlcNAc transferase OS=Pseudomonas linyingensis OX=915471 GN=SAMN05216201_102345 PE=4 SV=1	Pseudomonas linyingensis	344	1321	71.7	81.0	0.0
2	TR	A0ABV3YSW9	Glycosyltransferase family 4 protein OS=Pseudomonas zhanjiangensis OX=3239015 GN=AB5S05_08865 PE=4 SV=1	Pseudomonas zhanjiangensis	344	1299	71.4	81.0	1.5e-177
3	TR	A0ABU5P7G3	Glycosyltransferase family 4 protein OS=Pseudomonas spirodelae OX=3101751 GN=SOP97_06175 PE=4 SV=1	Pseudomonas spirodelae	344	1298	72.7	80.6	2.2e-177
4	TR	A0A9X1N4C5	Glycosyltransferase family 4 protein OS=Stutzerimonas kunmingensis OX=1211807 GN=K7H17_12970 PE=4 SV=1	Stutzerimonas kunmingensis	344	1293	71.7	82.4	1.2e-176
5	TR	A0ABT4XJV2	Glycosyltransferase family 4 protein OS=Pseudomonas aestuarii OX=3018340 GN=PH586_19145 PE=4 SV=1	Pseudomonas aestuarii	347	1285	70.8	81.1	2.3e-175
6	TR	A0A1I3CU10	Fuc2NAc and GlcNAc transferase OS=Pseudomonas guineae OX=425504 GN=SAMN05216206_0232 PE=4 SV=1	Pseudomonas guineae	340	1281	70.3	80.2	7.2e-175
7	TR	A0A4T1ZU22	Glycosyltransferase family 4 protein OS=Pseudomonas leptonychotis OX=2448482 GN=D8779_19160 PE=4 SV=1	Pseudomonas leptonychotis	343	1276	70.6	79.9	4.6e-174
8	TR	A0A1H0Z386	Fuc2NAc and GlcNAc transferase OS=Pseudomonas moorei OX=395599 GN=SAMN04490195_0975 PE=4 SV=1	Pseudomonas moorei	336	1275	70.1	83.0	5.1e-174
9	TR	A0ABY5H5B4	Glycosyltransferase family 4 protein OS=Pseudomonas benzenivorans OX=556533 GN=KDW96_20515 PE=4 SV=1	Pseudomonas benzenivorans	341	1271	70.4	80.9	2.5e-173
10	TR	A0ABS6MXZ3	Glycosyltransferase family 4 protein OS=Geopseudomonas aromaticivorans OX=2849492 GN=KRX52_12590 PE=4 SV=1	Geopseudomonas aromaticivorans	342	1253	68.6	80.6	1.4e-170
