"","Name","p_value","p_adj","time0","time12","Group","Logfc"
"44","PERM_HUMAN",1.72265572473407e-05,0.00489234225824475,0.0251840637796138,0.00883459146804367,"time0",-1.51127577176925
"51","CATG_HUMAN",0.000468790503440746,0.0326724353438763,0.00242443010549376,0.000693689436279634,"time0",-1.80528384246578
"62","PERE_HUMAN",7.24219717085362e-06,0.00411356799304486,0.00613092604901822,0.00240353170311056,"time0",-1.35094916995699
"83","CAP7_HUMAN",0.000728541800169879,0.0376192493178629,0.000103914855581128,4.11246869090365e-06,"time0",-4.65925340989468
"91","PRTN3_HUMAN",0.000228133634664118,0.0259159808978438,0.00210470389982954,0.000643247022288488,"time0",-1.71017250350222
"201","ITLN2_HUMAN",0.000398491974920034,0.0326724353438763,0.000871614715787067,0.0017381215485983,"time12",0.995766515488657
"210","PRRC1_HUMAN",0.000653585176323472,0.0371236380151732,3.61430198104077e-05,5.81032998237837e-06,"time0",-2.63702504571629
"227","RETN_HUMAN",2.69387283342094e-05,0.00510039923127698,0.000536322907310393,0.000111527691922144,"time0",-2.26569990418193
"318","A0A5C2G1Z6_HUMAN",0.000517697038899449,0.0326724353438763,8.8318389203904e-05,3.05070413215279e-05,"time0",-1.53357159060187
"470","A0A7S5C0C8_HUMAN",0.000214092025846018,0.0259159808978438,3.00396351323303e-05,3.02928880296453e-06,"time0",-3.30981625782697
"484","A0A7S5EVG5_HUMAN",0.000502307467164908,0.0326724353438763,7.36908601187699e-05,3.32192380803925e-05,"time0",-1.14946670898602
