#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
A19P0.fasta	NODE_16_length_126728_cov_141.760760	52921	53559	-	catB7_1	1-639/639	===============	0/0	100.00	98.91	resfinder	AF036933	catB7	Chloramphenicol
A19P0.fasta	NODE_17_length_108143_cov_103.286806	25256	26059	+	aph(3')-IIb_2	1-807/807	========/======	1/3	99.63	99.01	resfinder	CP006832	aph(3')-IIb	
A19P0.fasta	NODE_17_length_108143_cov_103.286806	38415	39608	-	blaPAO_1	1-1194/1194	===============	0/0	100.00	99.67	resfinder	AY083595	blaPAO	Amoxicillin;Ampicillin;Cefepime;Ceftazidime
A19P0.fasta	NODE_1_length_864414_cov_94.078432	639211	639618	-	fosA_4	1-408/408	===============	0/0	100.00	99.27	resfinder	ACWU01000146	fosA	Fosfomycin
A19P0.fasta	NODE_5_length_394464_cov_118.219906	33180	36274	+	tmexD2_1	1-3095/3135	========/======	8/20	98.41	80.71	resfinder	MN175502	tmexD2	Doxycycline;Minocycline;Tetracycline;Tigecycline
A19P0.fasta	NODE_6_length_327373_cov_129.507183	164143	164931	-	blaOXA-396_1	1-789/789	===============	0/0	100.00	99.75	resfinder	AY306134	blaOXA-396	Amoxicillin;Ampicillin;Meropenem
A19P12.fasta	NODE_10_length_251463_cov_343.028029	197697	198335	+	catB7_1	1-639/639	===============	0/0	100.00	99.53	resfinder	AF036933	catB7	Chloramphenicol
A19P12.fasta	NODE_1_length_1066988_cov_409.588718	64476	65282	+	aph(3')-IIb_2	1-807/807	===============	0/0	100.00	99.75	resfinder	CP006832	aph(3')-IIb	
A19P12.fasta	NODE_1_length_1066988_cov_409.588718	77638	78831	-	blaPAO_1	1-1194/1194	===============	0/0	100.00	99.67	resfinder	AY083595	blaPAO	Amoxicillin;Ampicillin;Cefepime;Ceftazidime
A19P12.fasta	NODE_2_length_925253_cov_311.923690	703585	703992	-	fosA_4	1-408/408	===============	0/0	100.00	99.02	resfinder	ACWU01000146	fosA	Fosfomycin
A19P12.fasta	NODE_7_length_330520_cov_366.227446	33511	36605	+	tmexD2_1	1-3095/3135	========/======	8/20	98.41	80.77	resfinder	MN175502	tmexD2	Doxycycline;Minocycline;Tetracycline;Tigecycline
A19P12.fasta	NODE_8_length_261862_cov_481.217778	162027	162815	+	blaOXA-396_1	1-789/789	===============	0/0	100.00	99.75	resfinder	AY306134	blaOXA-396	Amoxicillin;Ampicillin;Meropenem
A19P6.fasta	NODE_10_length_251465_cov_327.787559	53131	53769	-	catB7_1	1-639/639	===============	0/0	100.00	99.53	resfinder	AF036933	catB7	Chloramphenicol
A19P6.fasta	NODE_1_length_1067100_cov_330.589668	988282	989475	+	blaPAO_1	1-1194/1194	===============	0/0	100.00	99.67	resfinder	AY083595	blaPAO	Amoxicillin;Ampicillin;Cefepime;Ceftazidime
A19P6.fasta	NODE_1_length_1067100_cov_330.589668	1001831	1002637	-	aph(3')-IIb_2	1-807/807	===============	0/0	100.00	99.75	resfinder	CP006832	aph(3')-IIb	
A19P6.fasta	NODE_4_length_532308_cov_314.890726	221260	221667	+	fosA_4	1-408/408	===============	0/0	100.00	99.02	resfinder	ACWU01000146	fosA	Fosfomycin
A19P6.fasta	NODE_6_length_404846_cov_343.069027	293976	297070	-	tmexD2_1	1-3095/3135	========/======	8/20	98.41	80.77	resfinder	MN175502	tmexD2	Doxycycline;Minocycline;Tetracycline;Tigecycline
A19P6.fasta	NODE_9_length_261676_cov_411.532177	98854	99642	-	blaOXA-396_1	1-789/789	===============	0/0	100.00	99.75	resfinder	AY306134	blaOXA-396	Amoxicillin;Ampicillin;Meropenem
A7P0.fasta	NODE_10_length_261770_cov_206.103285	162146	162934	+	blaOXA-486_1	1-789/789	===============	0/0	100.00	99.75	resfinder	AY597426	blaOXA-486	
A7P0.fasta	NODE_14_length_181979_cov_164.479681	156168	156575	+	fosA_4	1-408/408	===============	0/0	100.00	98.78	resfinder	ACWU01000146	fosA	Fosfomycin
A7P0.fasta	NODE_15_length_175747_cov_155.977942	52183	52821	-	catB7_1	1-639/639	===============	0/0	100.00	99.06	resfinder	AF036933	catB7	Chloramphenicol
A7P0.fasta	NODE_16_length_174449_cov_182.082875	90374	91567	+	blaPAO_1	1-1194/1194	===============	0/0	100.00	99.50	resfinder	AY083595	blaPAO	Amoxicillin;Ampicillin;Cefepime;Ceftazidime
A7P0.fasta	NODE_16_length_174449_cov_182.082875	103923	104726	-	aph(3')-IIb_2	1-807/807	========/======	1/3	99.63	99.01	resfinder	CP006832	aph(3')-IIb	
A7P0.fasta	NODE_18_length_118344_cov_147.992111	80077	83171	-	tmexD2_1	1-3095/3135	========/======	8/20	98.41	80.71	resfinder	MN175502	tmexD2	Doxycycline;Minocycline;Tetracycline;Tigecycline
